,ID_Sample,Sample Name,ID_Analyses,instrument model
0,ERS2075823,fungi_4,MGYA00142329,Illumina MiSeq
1,ERS2075825,fungi_6,MGYA00142330,Illumina MiSeq
2,ERS2075821,fungi_2,MGYA00142332,Illumina MiSeq
3,ERS2075827,fungi_8,MGYA00142333,Illumina MiSeq
4,ERS2075824,fungi_5,MGYA00142335,Illumina MiSeq
5,ERS2075820,fungi_1,MGYA00142331,Illumina MiSeq
6,ERS2075826,fungi_7,MGYA00142334,Illumina MiSeq
7,ERS2075822,fungi_3,MGYA00142336,Illumina MiSeq
